MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:19:27.892 LON","HM49","","","","","","","","","","","","","","494071","","","","","","","","","","","2015-09-17 11:19:27.867 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:19:27.893 LON","HM49","","","","","","","","","","","","","","497931","","","","","","","","","","","2015-09-17 11:19:27.867 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:19:27.895 LON","HM49","","","","","","","","","","","","","","499226","","","","","","","","","","","2015-09-17 11:19:27.867 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:19:34.659 LON","","","","","","","","","","","","","","","","Max:332729 shares Urgency:Highest STL:5.20222 Liquidity:LIQUID QteSz:[50th=7,386]","352172","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:20:04.665 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.20422 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:20:34.670 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.20697 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:21:04.675 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.21019 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:21:34.680 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.21477 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:22:04.686 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.21964 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:22:34.693 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.22425 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
